time,heading_ang,pos_x,pos_y,vel_x,vel_y,accel_x,accel_y
0.575,-0.9433469382285153,294,440,282.842712474619,-4.657287525381037,0,500
0.583,-1.7531695193798669,295,441,282.842712474619,-8.657287525381037,0,500
0.586,-2.056689809691349,296,441,282.842712474619,-10.157287525381037,0,500
0.592,-2.6633671390001012,298,441,282.842712474619,-13.157287525381037,0,500
0.6,-3.4713182445286037,300,441,282.842712474619,-17.157287525381037,0,500
0.604,-3.8747961649757627,300,442,282.842712474619,-19.157287525381037,0,500
0.608,-4.277889569188289,301,442,282.842712474619,-21.157287525381037,0,500
0.613,-4.781155762574343,303,442,282.842712474619,-23.657287525381037,0,500
0.617,-5.183240725654613,304,442,282.842712474619,-25.657287525381037,0,500
0.625,-5.9858384466543555,305,443,282.842712474619,-29.657287525381037,0,500
0.629,-6.38627472598111,306,442,282.842712474619,-31.657287525381037,0,500
0.634,-6.88593609848418,308,442,282.842712474619,-34.15728752538104,0,500
0.642,-7.683179897416267,309,443,282.842712474619,-38.15728752538104,0,500
0.645,-7.981393152436212,310,443,282.842712474619,-39.65728752538104,0,500
0.65,-8.477441975936514,311,443,282.842712474619,-42.15728752538104,0,500
0.655,-8.972213908848772,313,443,282.842712474619,-44.65728752538104,0,500
0.658,-9.268435587276599,313,443,282.842712474619,-46.15728752538104,0,500
0.665,-9.957653987665708,315,443,282.842712474619,-49.65728752538104,0,500
0.668,-10.252156394305956,315,443,282.842712474619,-51.15728752538104,0,500
0.675,-10.937179150031739,317,443,282.842712474619,-54.65728752538104,0,500
0.683,-11.716194398078073,319,443,282.842712474619,-58.65728752538104,0,500
0.688,-12.200876375403084,320,443,282.842712474619,-61.15728752538104,0,500
0.692,-12.587352867831726,321,443,282.842712474619,-63.15728752538104,0,500
0.7,-13.356794287244583,323,442,282.842712474619,-67.15728752538104,0,500
0.704,-13.739700879910671,324,443,282.842712474619,-69.15728752538104,0,500
0.71,-14.311713471131895,325,442,282.842712474619,-72.15728752538104,0,500
0.713,-14.59663834692823,326,442,282.842712474619,-73.65728752538104,0,500
0.716,-14.880827165001065,327,442,282.842712474619,-75.15728752538104,0,500
0.724,-15.634981895062523,329,441,282.842712474619,-79.15728752538104,0,500
0.728,-16.01000333579924,329,442,282.842712474619,-81.15728752538104,0,500
0.734,-16.569896763532824,331,441,282.842712474619,-84.15728752538104,0,500
0.742,-17.31137285020351,333,441,282.842712474619,-88.15728752538104,0,500
0.745,-17.587905971248972,334,440,282.842712474619,-89.65728752538104,0,500
0.75,-18.046915564766834,336,440,282.842712474619,-92.15728752538104,0,500
0.754,-18.41240881927176,337,440,282.842712474619,-94.15728752538104,0,500
0.759,-18.867099442006207,337,440,282.842712474619,-96.65728752538104,0,500
0.763,-19.229087645152532,338,440,282.842712474619,-98.65728752538104,0,500
0.766,-19.49953738852365,339,439,282.842712474619,-100.15728752538104,0,500
0.774,-20.21631146469697,341,439,282.842712474619,-104.15728752538104,0,500
0.777,-20.48342174120647,342,438,282.842712474619,-105.65728752538104,0,500
0.784,-21.103062238986524,344,438,282.842712474619,-109.15728752538104,0,500
0.787,-21.367056803286857,344,438,282.842712474619,-110.65728752538104,0,500
0.792,-21.804937374699648,346,438,282.842712474619,-113.15728752538104,0,500
0.796,-22.15332691738182,347,437,282.842712474619,-115.15728752538104,0,500
0.8,-22.500000000000014,348,437,282.842712474619,-117.15728752538104,0,500
0.805,-22.93090853579747,349,436,282.842712474619,-119.65728752538104,0,500
0.808,-23.188147247695497,350,436,282.842712474619,-121.15728752538104,0,500
0.815,-23.78453008196159,352,435,282.842712474619,-124.65728752538104,0,500
0.818,-24.038466038583493,353,435,282.842712474619,-126.15728752538104,0,500
0.822,-24.3754910545222,353,435,282.842712474619,-128.15728752538104,0,500
0.827,-24.7942583843039,354,434,282.842712474619,-130.65728752538104,0,500
0.834,-25.375810505679,356,434,282.842712474619,-134.15728752538104,0,500
0.837,-25.623351589340245,357,433,282.842712474619,-135.65728752538104,0,500
0.842,-26.03364836380507,359,432,282.842712474619,-138.15728752538104,0,500
0.847,-26.441094793363845,360,432,282.842712474619,-140.65728752538104,0,500
0.851,-26.764992131880987,361,431,282.842712474619,-142.65728752538104,0,500
0.858,-27.32739054632681,363,430,282.842712474619,-146.15728752538104,0,500
0.862,-27.646226672904305,364,430,282.842712474619,-148.15728752538104,0,500
0.867,-28.04217275598316,366,429,282.842712474619,-150.65728752538104,0,500
0.875,-28.66966576483118,367,429,282.842712474619,-154.65728752538104,0,500
0.878,-28.90306187402369,368,428,282.842712474619,-156.15728752538104,0,500
0.884,-29.366718187122828,370,427,282.842712474619,-159.15728752538104,0,500
0.892,-29.978417124106272,372,426,282.842712474619,-163.15728752538104,0,500
0.895,-30.205885467741737,373,425,282.842712474619,-164.65728752538104,0,500
0.9,-30.58267368441804,374,425,282.842712474619,-167.15728752538104,0,500
0.904,-30.882011768631614,375,424,282.842712474619,-169.15728752538104,0,500
0.909,-31.25357037850989,377,423,282.842712474619,-171.65728752538104,0,500
0.912,-31.475112462045402,377,423,282.842712474619,-173.15728752538104,0,500
0.917,-31.842029900158252,379,422,282.842712474619,-175.65728752538104,0,500
0.922,-32.20605187139137,380,421,282.842712474619,-178.15728752538104,0,500
0.926,-32.495188109751666,381,420,282.842712474619,-180.15728752538104,0,500
0.933,-32.99673452518857,382,420,282.842712474619,-183.65728752538104,0,500
0.937,-33.28080012435103,384,419,282.842712474619,-185.65728752538104,0,500
0.942,-33.6332994375602,385,418,282.842712474619,-188.15728752538104,0,500
0.946,-33.91323790022723,386,417,282.842712474619,-190.15728752538104,0,500
0.95,-34.19134930093222,387,417,282.842712474619,-192.15728752538104,0,500
0.958,-34.74211059821471,389,415,282.842712474619,-196.15728752538104,0,500
0.961,-34.946775452349954,390,414,282.842712474619,-197.65728752538104,0,500
0.967,-35.35305748069058,392,413,282.842712474619,-200.65728752538104,0,500
0.975,-35.888475356981814,394,412,282.842712474619,-204.65728752538104,0,500
0.978,-36.087412473682534,395,411,282.842712474619,-206.15728752538104,0,500
0.984,-36.48228404717199,397,410,282.842712474619,-209.15728752538104,0,500
0.988,-36.74331687299862,398,409,282.842712474619,-211.15728752538104,0,500
0.993,-37.067128629443346,399,408,282.842712474619,-213.65728752538104,0,500
1.0,-37.51586287036271,401,406,282.842712474619,-217.15728752538104,0,500
1.004,-37.76988566250563,402,405,282.842712474619,-219.15728752538104,0,500
1.009,-38.084977557689456,404,404,282.842712474619,-221.65728752538098,0,500
1.017,-38.58353043856039,406,403,282.842712474619,-225.65728752538098,0,500
1.02,-38.76872403853483,407,402,282.842712474619,-227.15728752538104,0,500
1.025,-39.07525623699584,408,401,282.842712474619,-229.65728752538104,0,500
1.029,-39.31858024878929,410,400,282.842712474619,-231.65728752538104,0,500
1.033,-39.560223271197,411,399,282.842712474619,-233.65728752538104,0,500
1.039,-39.91955534442519,412,397,282.842712474619,-236.65728752538104,0,500
1.042,-40.097819986511496,413,397,282.842712474619,-238.15728752538104,0,500
1.049,-40.5101641585328,415,395,282.842712474619,-241.65728752538104,0,500
1.051,-40.62705454135411,416,395,282.842712474619,-242.65728752538104,0,500
1.057,-40.9752838767933,417,393,282.842712474619,-245.65728752538104,0,500
1.06,-41.1480323119747,418,392,282.842712474619,-247.15728752538104,0,500
1.067,-41.547597645458694,420,391,282.842712474619,-250.65728752538104,0,500
1.072,-41.83001166423048,421,390,282.842712474619,-253.15728752538104,0,500
1.076,-42.05416352587494,422,389,282.842712474619,-255.15728752538104,0,500
1.084,-42.49776382266401,424,387,282.842712474619,-259.15728752538104,0,500
1.087,-42.66250980695921,425,387,282.842712474619,-260.65728752538104,0,500
1.092,-42.935158536332295,426,385,282.842712474619,-263.15728752538104,0,500
1.095,-43.097597860984564,427,384,282.842712474619,-264.65728752538104,0,500
1.1,-43.36642705607028,429,383,282.842712474619,-267.15728752538104,0,500
1.104,-43.57978896152426,430,382,282.842712474619,-269.15728752538104,0,500
1.108,-43.791649339983735,431,381,282.842712474619,-271.15728752538104,0,500
1.116,-44.210905784581854,433,379,282.842712474619,-275.15728752538104,0,500
1.12,-44.41832203061335,434,378,282.842712474619,-277.15728752538104,0,500
1.125,-44.67553874741472,436,376,282.842712474619,-279.65728752538104,0,500
1.131,-44.98121296794517,437,375,282.842712474619,-282.65728752538104,0,500
1.135,-45.18320200476046,439,373,282.842712474619,-284.65728752538104,0,500
1.149,-45.879022322159756,442,369,282.842712474619,-291.65728752538104,0,500
1.157,-46.2689732271148,445,367,282.842712474619,-295.65728752538104,0,500
1.161,-46.46189220235749,446,366,282.842712474619,-297.65728752538104,0,500
1.167,-46.74872837206286,448,364,282.842712474619,-300.65728752538104,0,500
